Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,ArtistId,StageName,SpotifyUrl,Biography,CityOfOrigin,CountryOfOrigin,CurrentLocation,ExperienceLevel,YearsOfExperience,HasRecordLabel,RecordLabelId,HasAgent,AgentId,HasManager,ManagerId,IsResidentDJ,ResidentLocation,HourlyRate,SelectedCountries,ExtraInformation,CurrencyId,HourlyFeeRange,EquipmentUsed,EquipmentRequired,TechnicalRider,Rider,OtherRequirements,ManagementAgent
121,t,f,2025-11-10 15:40:17.509491+00,2025-11-10 15:40:17.509491+00,,153, MontVernon,,"Eddie Dynes, known as MontVernon, is a UK based producer focused on progressive house, house and techno. His sound blends warm melodic energy with groove driven movement. With releases like Angola and Atmosphere he is building a presence rooted in feeling and flow. Eddie is currently expanding bookings and developing new music for upcoming shows.",Tadworth,364,Tadworth,,2,t,Motiva Groove,f,,f,,f,,,,,6,200,"Pioneer CDJs and DJM mixer
","Standard club booth with Pioneer CDJ setup and DJM mixer
","- Standard professional booth setup
- Clear monitor levels
- Stable booth platform and no gear blocking movement","- Water still
- Green room if available
- Basic hospitality appreciated",None at this time,Independent
122,t,f,2025-11-10 16:24:43.59129+00,2025-11-10 16:24:43.59129+00,,154,Gustavo Adade,,"Gustavo Adade is a DJ and producer based in Amsterdam known for fast paced techno and hard hitting club energy. His sets move with intention balancing power precision and atmosphere to create a flow that keeps the room locked in from start to finish.

Active within the scene as both an artist and creative contributor he is also the founder of Resilient Apparel and Evidance reflecting his link between culture community and sound. With growing releases and consistent club appearances Gustavo continues to shape his identity in the European techno landscape pushing a style that is relentless uplifting and made for dancefloor connection.",Amsterdam,348,Amsterdam,,8,t,Nomadism Records,f,,f,,f,,,,,2,,USB performance on club standard Pioneer setup,"2x CDJ-3000 or 2000NXS2, 1x DJM-900NXS2, 2 booth monitors, RCA or XLR to house","Standard club setup, booth fan if possible, 1 bottle still water in booth, clean power","4 waters chilled, 2 soft drinks, towels, parking or drop-off access where relevant",None,Independent
123,t,f,2025-11-10 19:06:14.024125+00,2025-11-10 19:06:14.024125+00,,155,Rudosa,,Rudosa is a Manchester born techno artist known for powerful peak time energy and emotionally charged club moments. Label boss of Moments In Time and founder of the Make Me A DJ music school he has become a key voice in shaping the new generation of UK techno. His sound blends heavy rhythms with trance touched tension and rolling grooves built for the rave.,Manchester,364,Manchester,,10,f,,f,,f,,f,,,,,6,,"2 x Pioneer CDJ-3000
1 x Pioneer DJM-900NXS2 (or equivalent professional mixer)
High quality booth monitor speakers","Standard professional CDJ setup
Reliable booth monitor system
Clean and stable power supply
Minimum 2 high quality XLR outputs to main system","Professional booth placement with minimal vibration
Pioneer DJM-900NXS2 mixer preferred
Booth monitor with individual volume control
3 x RCA or digital links available
DJ table height approx. 110 cm","6 chilled waters
2 soft drinks
Clean towels
Secure backstage area
Local transport or parking access where relevant","Advance soundcheck access when possible
Clear communication with stage manager",Independent
125,t,f,2025-11-13 10:43:06.230066+00,2025-11-13 10:43:06.230067+00,,157,Øxenkracher,,"Between strobe lights, sweat, and heavy kicks, his fascination with DJing grew in Berlin’s techno scene and in 2024 he was behind the decks himself. His sound is characterized by energetic layered style and driving basslines.

Øxenkracher feels most at home in the worlds of hard techno, schranz, and industrial delivering high-impact club energy everywhere he plays.",Stuttgart,328,Stuttgart,,2,f,,f,,f,,f,,,,,0,,,,,,,
126,t,f,2025-11-13 11:22:14.717315+00,2025-11-13 11:22:14.717315+00,,158,CØPTER,,"CØPTER is a hard techno DJ based in Utrecht in the Netherlands. She is known for fast energetic sets and relentless underground energy built for late night club rooms and warehouse shows.

Part of the Obsidia community she represents the new wave of Dutch hard techno with a strong visual identity and a sharp ear for high impact tracks that keep the floor moving from start to finish.",Utrecht,348,Utrecht,,2,f,,f,,f,,f,,,,,2,200,"CDJ-3000 and DJM-900NXS2
USB sticks (Rekordbox)
High-quality headphones
Optional — Ear protection monitors","2 or 3 × Pioneer CDJ-3000 or CDJ-2000NXS2
1 × Pioneer DJM-900NXS2 mixer
Professional booth monitors
Stable elevated DJ booth
Proper ventilation and safe stage environment
Minimum 2 × USB ports for deck connectivity","Reliable sound system with strong low-end response
Booth monitors positioned at ear level with no delay
Mixer and decks must be cleaned and fully operational
Minimum 1 hour sound check availability
Secure power supply for all DJ equipment
DJ booth lighting must not obstruct visibility of displays","Water still and sparkling
2 × energy drinks or fresh juices
Small snacks (fruit or light items)
Safe and private backstage holding area
1 × guest list spot (optional)
Transport compensation if outside Utrecht or Amsterdam region","Professional stagehand or technician available during setup and switchovers
Clear communication from organiser regarding set time in advance
Safe storage area for personal items
No filming without her approval during setup",Independent
127,t,f,2025-11-13 12:07:08.11665+00,2025-11-13 12:07:08.11665+00,,159,Koshmar,,"Koshmar is a hard techno DJ and producer known for raw intensity and a signature dark aesthetic. His sound blends industrial pressure, sharp rhythms and relentless energy crafted for late night club rooms and high-impact warehouse floors.

He delivers heavy, fast and atmospheric sets supported by bold visuals and a strong artistic identity. Koshmar continues to push his sound across Germany and Europe, shaping his place in the new wave of underground techno.",Berlin,328,Berlin,,3,f,,f,,f,,f,,,,,2,200,"• USB sticks
• Pioneer CDJs + DJM mixer","• 2x Pioneer CDJ-2000NXS2 or CDJ-3000
• Pioneer DJM-900NXS2 or equivalent
• Proper booth monitors
• Isolated DJ table","• Professional booth monitor system
• Isolated and stable DJ booth
• Minimum 2 USB-compatible CDJs + mixer
• Line-in connections available","• Water
• Soft drinks
• Towels","• Proper lighting for DJ booth
• Safe and secure USB-friendly equipment",Independent
128,t,f,2025-11-13 12:29:02.169912+00,2025-11-13 12:29:02.169912+00,,160,Alchemic,,"Alchemic is a South African born producer based in the Netherlands crafting dark and ethereal techno that pulls listeners into hypnotic, otherworldly states. His music blends eerie textures with pulsing low end energy, exploring the transformation of emotion into rhythm a sonic reflection of inner alchemy.

Inspired by artists like POST PARANOIA, Rene Wise, DVS1, Setoac Mass, Ignez, Bailey Ibes, Daryn Steytler, Philberg and MARRON Alchemic’s work embodies a balance of chaos and clarity, inviting listeners to experience beauty in darkness.",Almere,348,Almere,,2,f,,f,,f,,f,,,,,2,150,"Pioneer CDJs
Allen & Heath / Pioneer mixers
USB / Rekordbox",Standard club setup (2–3 CDJs + mixer),"• Professional booth monitor speakers
• USB compatible setup
• No extra lighting on DJ booth without request","• Still water
• 1–2 drink tickets",None provided.,Independent
129,t,f,2025-11-13 15:42:12.813879+00,2025-11-13 15:42:12.813879+00,,161,Trinity,,"Trinity is the project of Natalia Zygmunt, a hard techno and industrial artist shaped by the Polish underground rave movement and now based in the Netherlands. Her sets are driven by raw energy, hypnotic groove, and an intense storytelling style that blends hard kicks with emotional depth.

Raised in the underground and performing across Europe, she aims to take the crowd into her “Trinity Era”, a space built on inner-world exploration, atmospheric textures, and industrial power. Her sound sits firmly in the harder spectrum of techno, with an emphasis on rhythm, narrative, and dark rave culture.",Tilburg,348,Tilburg,,2,f,,f,,f,,f,,,,,2,150,"• USB sticks (Rekordbox prepared)
• DJ headphones","• 3 × Pioneer CDJ-3000 or CDJ-2000NXS2
• 1 × Pioneer DJM-900NXS2 mixer
High-quality booth monitors
","Stable USB input ports
Proper lighting/lasers preferred for atmosphere","Soft drinks and water
Safe backstage space
2 × clean towels","Prefer train travel within NL, BE, DE
Flights acceptable for further locations
Hotel if travelling long distance",Independent
130,t,f,2025-11-17 18:55:55.264253+00,2025-11-17 18:55:55.264254+00,,162,Khalid 44,,"Khalid Alkurdi is a Syrian–Dutch hard techno and rave artist pushing a powerful, peak-time sound from the Netherlands. His sets move between industrial textures, trance-infused melodies, and hardcore energy, creating an explosive atmosphere designed for full-capacity floors.

With a growing following across Europe and releases such as Bass Drop, Khalid focuses on fast, driving rhythms, sharp percussion, and emotional build-ups that keep the crowd locked in from start to finish. His style sits firmly in the harder spectrum: high BPM, heavy kicks, and precise transitions that maintain tension while still feeling musical and accessible.",Groningen,348,Groningen,,3,f,,f,,f,,f,,,,,0,,,,,,,
134,t,f,2025-11-18 15:11:14.258485+00,2025-11-18 15:11:14.258486+00,,166,Pink Panda,,Pink Panda are an internationally recognised DJ and producer group known for high-energy performances and standout remixes across the global dance scene. Ranked in the DJ Mag Top 100 for five consecutive years they have performed on major festival stages worldwide including Creamfields Ultra Music Festival and multiple international tours. Their official remixes span some of the biggest names in pop and dance including David Guetta Sia Dua Lipa Elton John Britney Spears Ava Max Meduza Bob Sinclar Bruno Mars and more. Their productions bring a polished melodic dance sound that blends festival-ready impact with mainstream accessibility.,London,364,London,,10,f,,f,Matteo Saggin ✉️ matteo@msbtalents.com,t,Matteo Saggin ✉️ matteo@msbtalents.com,f,,,,,6,2000,"• 2 × Pioneer CDJ-2000NXS2 / CDJ-3000
• 1 × Pioneer DJM-900NXS2 mixer
• Rekordbox USB
• In-ear monitoring optional
• Branded Panda mask + LED visuals (if applicable)","• 3 × Pioneer CDJ-2000NXS2 or CDJ-3000
• 1 × Pioneer DJM-900NXS2 mixer
• 2 × Functional booth monitors (L + R)
• Stable high-speed USB ports
• Minimum 2 × XLR booth outputs
• Adequate ventilation for mask performance (if mask is used)","• Stable USB input ports
• No redlining on master or booth
• Clear booth monitor sound (L + R)
• Good front lighting + minimal strobes on transitions
• Visual support preferred (LED walls or minimal lasers depending on venue)
• Secure DJ booth space for mask handling & gear","• Still water and soft drinks
• Fresh towels × 2
• Safe & clean backstage area
• Light snacks (fruit / energy bars)
• 2 guestlist spots","• Flights or train travel depending on location
• Accommodation required for bookings ending after 03:00 or outside home city
• Local transport (hotel → venue → hotel)
• Early access to booth for LED mask check (if used)",Matteo Saggin - matteo@msbtalents.com
135,t,f,2025-11-18 17:42:41.834127+00,2025-11-18 17:42:41.834127+00,,167,Lockdown,,Lockdown is a high-impact electronic music act known for explosive festival-driven sound design and large-scale collaborations. The project has released records with Timmy Trumpet Carnage Steve Aoki Showtek Mariana Bo MaRLo Rave Republic Dr. Phunk and Ben Nicky. Lockdown recently released the official remix of Showtek’s global hit Booyah and saw viral success with Bloody Mary which has been certified Platinum and Silver. Their performances are built for peak-time festival energy combining hard melodic drops and emotional build-ups that move crowds in large-room and outdoor environments.,Rotterdam,348,Rotterdam,,7,f,,f,,t,Matteo Saggin - matteo@msbtalents.com,f,,,,,3,800,"• 3 × Pioneer CDJ-3000
• 1 × Pioneer DJM-900NXS2 or DJM-V10
• Rekordbox USB sticks
• In-ear monitoring optional
• Custom intro / visual files
• Stage mic (wireless) for crowd interaction if needed","• 3 × Pioneer CDJ-3000 (preferred) or CDJ-2000NXS2
• 1 × Pioneer DJM-900NXS2 or DJM-V10 mixer
• 2 × high-power booth monitors (L + R)
• Secure DJ riser with anti-vibration stand
• NO redlining — proper gain staging
• XLR outputs to FOH
• Visuals LED wall compatibility (optional but preferred)
• Pyro / CO2 cues if venue supports it","• Stable and clean USB input ports
• High-quality booth monitor sound
• Clear FOH communication for drops and pyro cues
• NO fog machines directly aimed at DJ booth
• Elevated booth preferred for festival-style performance
• Adequate ventilation and space for energetic performance
• Early access to booth for intro / visual testing","• 12 × still water
• 6 × soft drinks (Coca-Cola / Sprite / Red Bull variants)
• 2 × fresh towels
• Light snacks (fruit platter / energy bars)
• Safe, private backstage area for artist + tour manager
• 4–6 guestlist spots","• Flights or train travel depending on location
• Hotel accommodation (minimum 4-star) for shows outside NL
• Ground transport (airport → hotel → venue → airport)
• Early arrival recommended for visual testing
• Contracted performance times must allow 30 minutes setup buffer",Matteo Saggin - matteo@msbtalents.com
141,t,f,2025-12-04 09:06:07.863151+00,2025-12-04 09:06:07.863151+00,,173,Astúria,,"Astúria is a DJ and music producer of Brazilian origin, based in France since 2019. A trained pianist, she draws influence from the sun-soaked parties of her homeland where music blends joy, rhythm, and freedom. Her sets move between deep house, afro/latin house, tech house, Brazilian bass, and tribal influences, creating a warm and energetic atmosphere. With her melodic storytelling and Latin-rooted grooves, Astúria invites listeners on a journey designed to make them dance, travel, and feel connected.",Lamorlaye,327,Lamorlaye,,5,f,,f,,f,,f,,,,,2,200,Pioneer CDJs,"Standard DJ booth with Pioneer CDJ setup
Good sound system
(Inferred from typical DJ requirements – can be updated if she sends specifics)","Standard DJ Setup
• 2x Pioneer CDJ-2000NXS2 or CDJ-3000
• 1x Pioneer DJM-900NXS2 mixer
• Booth monitors
• Stable DJ booth
• Professional sound system suitable for venue size","• Water still and sparkling
• Hot tea or coffee
• Light snacks (fruit or nuts preferred)
• Clean and safe backstage area
• At least one staff point of contact
• Optional: Transport assistance depending on location",,Self-managed
136,t,f,2025-11-18 18:27:24.855727+00,2025-11-18 18:27:24.855727+00,,168,Viresha,,"Viresha is a Swedish DJ and producer creating music for the soul. She began her music journey at the age of 48 after surviving breast cancer, a transformative moment that awakened a deep creative energy from within. Her sound blends emotional depth with rhythmic power, creating a spiritual and dance-driven listening experience. With an artistic path that has also led to affiliation with Tomorrowland, Viresha is steadily carving out her place in the global melodic and organic house community, inviting audiences into a journey of healing, rhythm, and creative expression.",Borås,361,Borås,,4,t,Tomorrowland,f,,f,,f,,,,,2,500,"• Pioneer CDJ-3000 (preferred)
• Pioneer DJM-900NXS2 or DJM-A9
• USB / Rekordbox workflow
• Optional in-ear monitors","• 2–3 × Pioneer CDJ-3000
• 1 × Pioneer DJM-900NXS2 or DJM-A9
• Professional booth monitors
• Stable DJ booth table with power source
• Adequate ventilation around the booth area","• Club-standard PA system
• Minimum 2 × booth monitors with separate volume control
• XLR inputs
• FOH technician or audio engineer available during changeover
• Clean and stable DJ booth
• No drinks placed on equipment","• 2 × still water
• 2 × sparkling water
• 1 × fruit platter or light snack
• 1 × small towel
• 1 × backstage pass for assistant (if needed)","• Transport or parking support if required
• Set time and timetable provided 48 hours in advance
• Promo assets delivered 72 hours before show
• Safe and respectful backstage environment",Independent
137,t,f,2025-12-01 11:56:51.779069+00,2025-12-01 11:56:51.779069+00,,169,MIESØ,," MIESØ — pronounced like miso (yes, like the soup) is the alias of Michelle, a 26-year-old Dutch DJ. The name is a playful nod to her heritage and her nickname “Mies.” Growing up in a musical family, she always knew music was her path, but in 2023 she discovered that DJ’ing, especially electronic music, was her real calling.
Her sets move between bouncy euphoria and heavy, driving bass. Known for her hard-bounce and hard techno sound, she blends melodic intros, nostalgic throwbacks, and destructive drops into a signature mix of emotion, energy, and punch.

Her dedication paid off quickly: after her first gig in January 2025, she was invited to play at Club BASIS Talent Nights and Grijs Gebied, sharing the stage with artists like Franky-B, Jånks, Technika, and Juul Exler. Since then, she’s been shaping her sound further, both behind the decks and in the studio, where her style continues to evolve with every track she creates",Amsterdam,348,Amsterdam,,1,f,,f,,f,,f,,,,,2,200,"Pioneer CDJ-3000
DJM-900NXS2","2× Pioneer CDJ-3000 (or CDJ-2000NXS2)
1× DJM-900NXS2 mixer
1× Platform / booth riser 
1× Booth ventilator","2× Pioneer DJ 3000 / 2000 NXS2
1× DJM-900 NXS2 mixer
Platform / booth riser (required depending on booth height)
Booth ventilation","2× Still water
2× Redbull or Club Mate
2× M&M’s, Mars or Snickers
1× Proper meal (for gigs between 17:00–20:00)
1× Small towel","Platform riser if booth height is high
Safe travel arrangements for late-night sets
Women-safe accommodation for international bookings",Independent
138,t,f,2025-12-02 12:42:15.563364+00,2025-12-02 12:42:15.563364+00,,170,PHYXX,,"PHYXX is a DJ and producer from Almería whose connection with music began at a very young age. His artistic identity took shape in the Spanish underground where he discovered the sound that would become his true language. Initially rooted in hard groove, his style evolved into a purer and more mental form of techno shaped by rhythmic pressure, dark layers and constant tension that envelopes the listener.

His career includes remixes for artists like Pirfter on Mindtrip and collaborations with respected labels including TMM Records and DarkForest. PHYXX has released music on platforms across the scene such as Diffuse Reality, DSNGD and ETHNIC MEETING, placing him steadily at the forefront of contemporary techno.

He is also the founder of Echofarm, a label born as an extension of his artistic vision: a space for authentic minimal proposals that stay closely connected to the essence of introspective and powerful techno.",Almería,359,Almería,,5,f,,f,,f,,f,,,,,2,200,,"• Pioneer CDJ setup
• DJM mixer
• USB drives","• 2× Pioneer CDJ-3000 or 2000NXS2
• 1× DJM-900NXS2 mixer
• 2× booth monitors at ear height
• Clean DJ booth area with ventilation","• Water still + sparkling
• Towels
• Light snacks
• Safe and private greenroom area","TRAVEL RIDER 
Domestic (Spain)
• Return ground transport covered
• Local accommodation if required for late sets
International
• Return flight or train covered
• Airport pick-up and drop-off
• Hotel with private room, minimum 3-star
• Late check-out after night performances",Independent
139,t,f,2025-12-02 13:15:36.846364+00,2025-12-02 13:15:36.846364+00,,171,LUCUZ,,"LUCUZ is a techno and trance DJ from Jersey known for powerful, melodic sets that blend modern techno energy with uplifting trance influences. Starting as a local club regular, he has grown into a festival and international performer, appearing at Weekender Festival, Jersey Live and Entice Ibiza. His releases on Damaged Records and Octagon Discs have received support from major names across the techno and trance circuit. Focused, driven and evolving, LUCUZ brings a high-impact sound built for peak-time dancefloors.",Jersey,364,Jersey,,8,f,,f,,f,,f,,,,,6,200,"• Pioneer CDJ setup
• DJM mixer
• USB drives","• 2× Pioneer CDJ-3000 or CDJ-2000NXS2
• 1× Pioneer DJM-900NXS2 mixer
• Proper booth monitoring
• Stable table or booth","• 2× Pioneer CDJ-3000 or 2000NXS2
• 1× DJM-900NXS2 mixer
• 2× booth monitors at ear height
• Clean DJ booth area with ventilation","• Water still + sparkling
• Towels
• Light snacks
• Safe and private greenroom area","Domestic
• Return ground transport covered
• Local accommodation if required for late sets

International
• Return flight or train covered
• Airport pick-up and drop-off
• Hotel with private room, minimum 3-star
• Late check-out after night performances",Independent
140,t,f,2025-12-02 13:34:03.094984+00,2025-12-02 13:34:03.094984+00,,172,PEZAR,,"  Born in Iran and now based in Belgium, PEZAR fuses his rich heritage of Persian modes and Kurdish melodies with contemporary Afro melodic House/techno. He specializes in the art of making people dance, expertly building atmosphere, tension, and groove. PEZAR creates the ideal emotional bridge from introspective moments to dancefloor readiness, preparing crowds at venues like Caféina, Club Versuz, resident dj at Skybar Antwerp and events & festivals across Europe for the night ahead.  
",Antwerp,318,Antwerp,,2,f,,f,,f,,f,,,,,2,100,"• Pioneer CDJ setup
• DJM mixer
• USB drives","• 2× Pioneer CDJ-3000 or CDJ-2000NXS2
• 1× Pioneer DJM-900NXS2 mixer
• Proper booth monitoring
• Stable table or booth
Clean booth area with stable table height
Standard XLR outputs to FOH","• 2× Pioneer CDJ-3000 or 2000NXS2
• 1× DJM-900NXS2 mixer
• 2× booth monitors at ear height
• Clean DJ booth area with ventilation","• Water still + sparkling
• Towels
• Light snacks
• Safe and private greenroom area",None,Independent
202,t,f,2026-04-16 14:50:04.509931+00,2026-04-16 14:50:04.509931+00,,238,DJ,,"Axelle has been taking a spot on the global drum and bass scene in the past year — She is known for her energy on stage, making the crowd dance on our fav Bangers ! From underground raves in France to festival stages in Thailand and Europe. Axelle has carved out a
reputation for delivering great performances with emotion. Passionate with drum and bass music from more than 15 years she is now taking her turn to make you vibe",Lille,327,"",,3,t,Moonset records ,t,Daan from tea leaves agency Amsterdam ( daan@tea-leaves.nl ) ,t,"Anthea Montis , tehana events ",t,Lille Omega ,,,,0,,,,,,,
142,t,f,2025-12-04 10:54:53.482979+00,2025-12-04 10:54:53.48298+00,,174,BVNNII,,"From BVNNII Bouncy Beats to Hard Fast Hops and Heavy Stomps that will make the ground shake’

BVNNII's sound would be best described as  Neorave, her sound explores all corners of the Neorave spectrum. She draws influences from Hard Techno, Trance, Tekno, Acid, Hard Bounce and Early Hardstyle/core. Regularly mixing all together in one set.

As a Bass-scene girl by heart, she often blends this with Drum'N Bass and Dubstep, making that her signature sound.
",Nijmegen,348,Nijmegen,,3,f,,f,,f,,f,,,,,2,100,"• Standard Pioneer CDJ setup
• Uses personal headphones and USBs
• Comfortable with CDJ-3000","• 2 but preferably 3 × Pioneer CDJs 3000
• 1 × Pioneer DJM-900NXS2 or equivalent professional DJ mixer
• Stable booth surface suitable for heavy movement
• Clear line of sight to booth lighting if available","• Professional booth monitor system with strong low-end response
• USB-friendly CDJ setup prepared at least 15 minutes before performance
• Minimum 2 × booth monitors
• Clean and secure cable management
• Adequate lighting to view mixer and CDJs
• Free access to water before and during the set","• Bottled still water
• Energy drink and cola 
• A secure backstage area or green room when available
• Space to prepare before and decompress after the performance","• High-quality event photos or short recap videos appreciated for portfolio use
• Tag @bvnnii_verse.neo on social media promotions
• If strobe-intensive lighting is used, advance notice is preferred",Independent artist
143,t,f,2025-12-04 12:10:49.173745+00,2025-12-04 12:10:49.173745+00,,175,NoNameLeft,,"NoNameLeft is a peak time techno duo from Budapest shaping a distinctive sound marked by dark atmospheres, tight percussion, and powerful low-end energy. Their music blends raw drive with hypnotic sequences designed for peak-hour dancefloors. Known for precision and intensity in both studio productions and live performances, they consistently deliver a cinematic, forward-leaning techno experience.

With a growing international following and releases supported across the scene, NoNameLeft continues to push their signature sound, building momentum across clubs and festivals throughout Europe.",Budapest,333,Budapest,,10,t,Interlinked Records,t,Interlinked Artists,t,Interlinked Artists,f,,,,,2,3000,"Standard club DJ setup
Plays on a Pioneer CDJ setup with USB sticks, usually 2x CDJ-2000NXS2 or CDJ-3000 and a Pioneer DJM-900NXS2 mixer. No turntables needed.","Professional DJ booth with:
• 2x Pioneer CDJ-2000NXS2 or CDJ-3000
• 1x Pioneer DJM-900NXS2 (or equivalent club mixer)
• Stable table/booth and reliable PA with booth monitors","Standard techno DJ technical setup as above.
Full technical rider can be requested via Interlinked Artists if needed.","Nothing complicated.
• Still and sparkling water
• Soft drinks or energy drinks
• A few drink tokens for the night","• At least 15 minutes changeover time before the set
• Safe place to store personal belongings near the booth",Interlinked Artists - contact@interlinkedartists.com
146,t,f,2025-12-08 11:58:04.594497+00,2025-12-08 11:58:04.594497+00,,178,EL PADRE,,"EL PADRE is a Poland-based DJ and melodic techno producer whose performances transcend traditional club spaces and evolve into contemporary rituals of sound, emotion, and transformation. Recognised for his ability to merge the roots of electronic music with cutting-edge digital mysticism, he guides audiences through immersive journeys where past and future meet. His sets are crafted as portals into alternate dimensions shaped by deep grooves, cinematic harmonies, and evolving AI-driven landscapes.

Drawing inspiration from the masters who defined house and techno, EL PADRE honours the legacy of the scene while pushing its limits into new territory. His artistry embodies the role of a modern shaman: opening gateways, uniting crowds, and encouraging full emotional release through sound.

Performing across Europe and Asia, including club stages in Ibiza, EL PADRE has earned a reputation for ceremonial, emotionally charged sets that resonate long after the final note. His signature message: the journey begins when you follow the sound.",Gdansk,351,Gdansk,,7,f,,f,,f,,f,,,,,0,,,,,,,
147,t,f,2025-12-08 17:22:50.939073+00,2025-12-08 17:22:50.939073+00,,179,ilse dorine,,"ilse dorine crafts introspective techno journeys defined by hypnotic patterns, deep rolling bass, and progressive layers that build tension and release with precision. Rooted in atmospheric storytelling, her sound guides dancers into a meditative yet rhythmic state where the dancefloor becomes a place of inner movement. As part of the ROOTED collective, she holds a bi-monthly residency at Toekomstmuziek, championing forward-thinking techno and community-driven culture within Amsterdam’s underground scene.",Amsterdam,348,Amsterdam,,3,f,,f,,f,,f,,,,,0,,,,,,,
148,t,f,2025-12-08 18:39:44.703404+00,2025-12-08 18:39:44.703404+00,,180,KITA,,"KITA is a Rotterdam based DJ shaping a distinct sound within the Groove and Schranz landscape. His sets are defined by sharp precision, tightly controlled energy, and a clean rhythmic structure that keeps momentum high from start to finish. Focused and deliberate in his approach, he blends both genres with discipline, offering a streamlined yet powerful experience built for fast paced dancefloors.",Rotterdam,348,Rotterdam,,2,f,,f,,f,,f,,,,,0,,,,,,,
149,t,f,2025-12-08 20:12:02.391227+00,2025-12-08 20:12:02.391227+00,,181,SKOLLARIS,,"Skollaris is a rising electronic music artist whose sound blends high-intensity hard techno with deep, hypnotic industrial textures. Known for powerful grooves, dramatic builds, and sharp rhythmic precision, he delivers sets that command the dancefloor with energy and emotional tension. His work reflects a modern underground identity shaped by European techno influences.",Paris,327,Paris,,7,f,,f,,f,,f,,,,,0,,,,,,,
150,t,f,2025-12-10 19:35:01.501953+00,2025-12-10 19:35:01.501954+00,,182,Thoder,,As “Thoder” Thomas Creutzburg has spent years exploring the possibilities of electronic music. His foundation lies in the versatility of house where he combines minimal textures with tech house drive and warm groovy rhythms. Inspired by both classic and contemporary influences he approaches every set with intention and creativity. His goal is simple yet powerful to create memorable experiences that connect people through movement energy and atmosphere. Whether shaping a late night club set or curating a more intimate groove his identity as an artist is defined by consistency experimentation and a deep passion for sound.,Amsterdam,348,Utrecht,,2,f,,f,,f,,f,,,,,2,100,,,,,,
174,t,f,2026-02-02 08:18:12.98795+00,2026-02-02 08:18:12.98795+00,,206,Daniel Weirdo,,"Daniel Weirdo is a techno DJ and producer from Budapest, Hungary, carving his space within the contemporary techno scene through intense, high-energy performances and a no-compromise approach to sound. His style blends driving peak-time rhythms with harder techno elements, creating powerful sets designed for late-night dancefloors.

Based in one of Central Europe’s most vibrant underground scenes, Daniel Weirdo draws influence from industrial textures, hypnotic grooves, and modern techno aesthetics. His performances focus on flow, tension, and impact, delivering immersive experiences that resonate with both underground crowds and club-focused audiences.",Budapest,333,Budapest,,10,t,Interlinked Artists,t,Interlinked Artists,f,,f,,,,,0,,,,,,,
152,t,f,2026-01-29 17:04:31.566075+00,2026-01-29 17:04:31.566076+00,,184,MØTEK,,"MØTEK is a relentless force driven by the raw power of hardgroove and hardbounce, delivering high-intensity sets packed with nonstop momentum and heavy, rolling rhythms. Known for his energetic sound and fast-paced groove, MØTEK creates an unstoppable rave atmosphere where the bass hits hard and the crowd never stands still.

With a strong focus on high-energy nightlife and keeping the crowd locked in motion, MØTEK brings a fresh and powerful presence behind the decks. Every set is designed as a full-throttle experience: intense, euphoric, and built for late-night warehouse sessions and high-impact festival stages.",Amsterdam,348,Amsterdam,,5,f,,f,,f,,f,,,,,2,100,"Pioneer DJ CDJ-2000NXS2 / CDJ-3000
DJM-900NXS2 Mixer / DJM-A9 / DJM-V10
All-in-one Pioneer mixers","2x Pioneer CDJ-2000NXS2 or CDJ-3000
1x Pioneer DJM-900NXS2, DJM-A9 or DJM-V10
Professional booth monitoring
Stable power supply
Table/booth at the correct height","Artist performs with USB sticks via Rekordbox.
Setup must be ready at least 30 minutes before performance.
Sound system should be club-standard with sufficient low-end for techno.
Technician on-site preferred during performance.","2 bottles of water
2x energy drink (Red Bull)
Towel
Guestlist spots: at least 2","A safe and professional DJ booth environment.
Performance slot and timetable must be confirmed in advance.
Access to the venue at least 1 hour before set time for soundcheck and preparation.",Self-managed – bookings through: djmotek@outlook.com
153,t,f,2026-01-29 23:35:30.254964+00,2026-01-29 23:35:30.254964+00,,185,Kita,,,Rotterdam ,348,Zuid,,,f,,f,,f,,f,,,,,0,,,,,,,
154,t,f,2026-01-30 10:52:25.348738+00,2026-01-30 10:52:25.348738+00,,186,Ghoul (ZA),,"The Alias of Jay-Dee Verheem, a Techno Producer/DJ based in Johannesburg South Africa. He started making a name for himself with releases on Techno Labels such as Kurai, Set About & Animarum to name a few. His style is highly focused on the dark, disturbing and nightmarish sounds coupled with immensely tribal based grooves and hard hitting bass-lines layered with Trance'esque synths. His perspective when it comes to music can be attributed to the philosophy of “obZen”, which means finding Zen in the obscene and obscure.",Johannesburg,365,Johannesburg,,12,t,"Kurai Records, Set About, Animarum",f,,f,,f,,,,,0,,,,,,,
