Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,DateTimeStart,DateTimeEnd,EventType,PrimaryGenre,Description,CoverImageURL,TicketLink,AmountOfStages,AmountOfArtists,AdditionalInformation,PromotionalImagesURLs,PASystem,Turntable,CDJ,Mixer,Monitor,IsVisualsRequired,IsCancelled,EventId
234,t,f,2025-11-03 12:06:35.57+00,2025-11-03 12:06:35.57+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"NEST RAVE docks – and provides you with a night below deck with a line-up in a class of its own. On Friday 10 October, we’ll be building our nest together – and invite you to shake the ship with us. No compromises, no going backwards – we’re going full speed ahead and are looking forward to a lot of swell, driven by the thumping bass. Let yourself drift through the night with us – without going overboard! Nest building starts at 11pm. Bring your favourite people – we’ll stay the course: bass ahead.

Oliver Huntemann | Nakadia  | Tommahawk | Bjørnson",,,0,0,,{},,,,,,f,f,250
235,t,f,2025-11-03 12:08:12.544+00,2025-11-03 12:08:12.544+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"PHENOMENH: A Lunar Experience – September 20th, 2025
00:00 – 05:00 | 2 Dancefloors | Plan B, Malmö
Electronic Music All Night Long

“Like the moon’s phases, the night unfolds in shifting moods, from light to darkness, quiet to intensity - taking attendees through a dynamic emotional and sonic journey.”

After a moody spring and a warm, vibrant summer filled with both sunshine and rest, PHENOMENH returns this fall - more focused and ready than ever.

We’re finally back at Plan B for another night of immersive music, visuals, and a carefully curated lineup. No gimmicks, no glitter - just five hours of heavy-hitting, high-quality music.

Joining our local pillars of the scene, Eurowhip, DJ Klubb Kadaver, and our resident AELVA K, we’re proud to present two standout acts from beyond our borders:

BJØRNSON, based in Stuttgart, brings peak-time techno at its finest. His productions and remixes can now be found on essential labels such as KD raw, Tregambe and Hypnostate. Regularly supported and featured in the Drumcode Radio Show, as well as played live in clubs by acts like Richie Hawtin, Joris Voorn, Alex Stein, and Marco Faraone. His powerful, dark and pulsating sets have earned him recognition as one of Germany’s most promising new techno artists.

Wiebe Roose, Berlin-based Belgian artist, blends deep, psychedelic techno with emotional grooves and multicultural textures. Known for his signature trippy sound and his role as a teacher, producer, and promoter, Wiebe has become a driving force in Berlin’s underground and a master of deep dancefloor journeys.

LINEUP

Warehouse (00:00 – 05:00)
00:00 – 01:30 → AELVA K
01:30 – 03:30 → BJØRNSON
03:30 – 05:00 → Wiebe Roose

Control Room (00:00 – 03:00)
00:00 – 01:30 → Eurowhip
01:30 – 03:00 → DJ Klubb Kadaver

TICKETS
Early Entry (Enter between 23.00–00:00): 125:- SEK
Presale: 155:- SEK
Regular Door Price: 170:- SEK

The ticket gives you full access to both the Warehouse and the Control Room. You will be able to enter Plan B at 23:00, and PHENOMENH starts at 00:00 sharp. The warehouse goes on until 05:00.

PHENOMENH isn’t just another party. It’s a space for the passionate—those who live for the music and the underground energy it creates. It’s simply a phenomenon, an event you have to experience to truly believe.

Spread the word, invite your friends, and join us for a night of unforgettable vibes. We’ll see you on the 20th of September!",,,0,0,,{},,,,,,f,f,251
236,t,f,2025-11-03 12:12:21.442+00,2025-11-03 12:12:21.442+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,FESTIVAL & OPEN-AIR,,"Die Frida hat Geburtstag und feiert wild ein ganzes Wochenende auf drei Floors: wir öffnen zu diesem besonderen Anlass zum letzten Mal in diesem Jahr unser Pier sowie das Ober- und Unterdeck! Der Freitag steht dabei ganz im Zeichen von Techno und Trance. Zwei internationale Headliner mit Pleasurekraft und Karotte (der ein extra langes Fünfstundenset spielt!) beehren uns, während unsere vier Lieblingsmatrosen Bjørnson, Liroy, Leo Tiger und Crystal Crimez den perfekten Rahmen bilden - happy birthday!
—

It's Frida's birthday and we're celebrating wildly for a whole weekend on three floors: for this special occasion, we're opening our pier and the Oberdeck and Unterdeck for the last time this year! Friday is all about techno and trance. Two international headliners with Pleasurekraft and Karotte (who plays an extra-long five-hour set!) will honour us, while our four favourite matrons Bjørnson, Liroy, Leo Tiger and Crystal Crimez provide the perfect backdrop - happy birthday!",,,0,0,,{},,,,,,f,f,252
237,t,f,2025-11-03 12:15:02.966+00,2025-11-03 12:15:02.966+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"Hellooo, it's Anna Reusch time again! The female figurehead for groovy techno and pure energy is back on the cutter, ready for another escalation. Those who know, know! As last time, Anna will be accompanied by Bjørnson and Andre Keller.
",,,0,0,,{},,,,,,f,f,253
238,t,f,2025-11-03 12:16:37.29+00,2025-11-03 12:16:37.29+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"The phenomenon Patrick Mason is in Stuttgart for the first time! Nobody in the techno scene dances so ecstatically and stylishly during his sets - no wonder, because Patrick was a professional dancer for years. He now lives this out during his DJ sets and delights hundreds of thousands of fans all over the world. His musical style is uncompromisingly straightforward, but always with the necessary touch of funk. We are delighted to have this top act for Frida! The support he's getting is just as great: DJ Leo Tiger for the opening and our resident Bjørnson for the closing.
",,,0,0,,{},,,,,,f,f,254
239,t,f,2025-11-03 12:18:09.734+00,2025-11-03 12:18:09.734+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"A techno booking in a class of its own! None other than French DJ and producer Space 92 will be making his debut at Frida. With numerous releases on the best-known peak time techno labels such as Drumcode and groundbreaking sets, he has built up a reputation that has earned him almost 1 million monthly listeners on Spotify, among other things. Time to get our cutter rocking! Our resident Bjørnson is at his side and is responsible for both the opening and the closing.
",,,0,0,,{},,,,,,f,f,255
241,t,f,2025-11-03 14:13:28.113+00,2025-11-03 14:13:28.113+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,FESTIVAL & OPEN-AIR,,Adam Beyer  / Adriatique  / Alexa (KR)  / Allen Hulsey  / Andrea Oliva  B2B ARODES  / Anfisa Letyago  / Apache  / Bad Boombox  / Bart Skils  B2B Konstantin Sibold  / Beltran  B2B Ben Sterling  / BONTAN / Caiiro  / Calussa  / Charlotte de Witte  / Chris Avantgarde  / Damian Lazarus  B2B Dubfire  / David Löhlein  / DJ GUESTLIST  / ENRICO SANGUILIANO / FELIPE.JH / Gabo Forero  / Giorgia Angiuli  / Gladkazuka  / GUSTAVO IBARRA / Guy Mantzur  B2B Nick Warren  / Hector  / Henrik Schwarz  / Innellea  / Inner City  / Innexen  / ISABELLA ROLDAN B2B D.O.L.B.Y DIGITAL / Janis Zielinski B2B NO ONE  / Jon Dixon  / JUANDJJ / JUNN  / KARABA  / Kevin de Vries  / KhoMha  / KI/KI  / KINK  / Kolsch  / Layla Benitez  / Lee Ann Roberts  / Linska  / L!on  B2B Palencia  / Mahmut Orhan  / MANOLO / Marino Canal  B2B VOMEE / MINO ABADIER / MISCHLUFT / Mita Gami  / NOISE MAFIA / PEACE CONTROL / NCO & PABLO ALHACH / OBANDO / POLO & PAN / REINIER ZONNEVELD / ROGER SANCHEZ / SARA LANDRY / SAVAGE & SHE / Sebastien Leger & Roy Rosenfeld [LOST MIRACLE] / SPIKJER / Shimza  / TAVO / TENASHEE [ DJ Tennis + ASHEE] / Voodoo Meluk,,,0,0,,{},,,,,,f,f,257
242,t,f,2025-11-03 14:16:26.792+00,2025-11-03 14:16:26.792+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,FESTIVAL & OPEN-AIR,,"Miami's most mystical, magickal, and magnificent Halloween celebration returns to Factory Town for its 5th year! FIVE stages over THREE NIGHTS, 7 PM to 7 AM, starting Halloween night.

Rave all night to enchanting lineups featuring TECHNO, HOUSE + everything in between, and more surprises to be revealed!",,,0,0,,{},,,,,,f,f,258
243,t,f,2025-11-03 14:18:25.146+00,2025-11-03 14:18:25.146+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"UR PLACE :
2200 m2 of open air under the bridge
LGBTQIA+ Friendly
Enjoy our independent shops, tattoo shops & more
Listen to the greatest local & international DJs, from house to hard techno
Meet our international performers from « Kilomètre25 Circus » curated by Juliette Dragon (fireball, dance, pole dance, pyro & more)
____________________
Opening hours
Thursday : 11 PM to 6 AM
Friday, Saturday, Public holiday eve : 12am to 7am.
8 boulevard MacDonald, 75019 PARIS
T(3B): Ella Fitzgerald or Delphine Seyrig
M(5): Porte de Pantin or Hoche
M(7): Porte de la Villette
RER(E): Gare de Pantin
VELIB: Ella Fitzgerald
Accessibility for people with reduced mobility - please contact us >> contact@kilometre25.fr
____________________
+ 18 only. ID required. The management reserves the right of admission.
All discriminatory behaviors, such as racism, homophobia, transphobia, sexism, validismand hate, are strictly prohibited at Kilometre25.
____________________
Cloakroom.
Price per item: €2 or 4€
Capacity limited, no luggages allowed !
____________________
If entry is refused, please claim your refund from the person in charge at the entrance gate. Any subsequent request will not be processed.
All exits are final.
LAST ENTRY BEFORE 6.00AM
____________________
License 2: R-23-000597
License 3: D-23-00467",,,0,0,,{},,,,,,f,f,259
244,t,f,2025-11-03 14:22:40.766+00,2025-11-03 14:22:40.766+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,SHOWCASE & INDUSTRY,,"50:HERTZ CLUB TRAIN presents: TAKE OFF Label Showcase by SPACE 92

On Saturday morning, the CLUB TRAIN will kick off with a powerful sunrise showcase hosted by one of the most influential names in the international techno scene: SPACE 92.

Techno Peak Time / Drive’s best-selling artist of all time, and the mind behind a string of number one hits, SPACE 92 is a trailblazing French producer. His sound identity is a mix of trancey techno, distorted percussion and a touch of acid, in addition to underlying sensitivity and nostalgia. SPACE 92 has released music on the world’s most influential labels: Drumcode, Filth on Acid, Factory 93, Arcane.

Founded in 2025 by SPACE 92, TAKEOFF is a young label that has consistently charted in the Beatport Top 3 since its inception, and is already ranked in the worldwide Techno Label Beatstats Top 20.

For this special ADE showcase, the label will take over one of the CLUB TRAIN stages with a full journey curated by SPACE 92 himself. This will be one of the most anticipated sets of the weekend.",,,0,0,,{},,,,,,f,f,260
245,t,f,2025-11-03 14:24:15.247+00,2025-11-03 14:24:15.247+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"! This event is fully sold out: no doorsale
On October 24th, 2025, a new era of electronic music ignites at Amsterdam Dane Event. Lilly Palmer presents her debut album ‘Bigger Than Techno’!

We’ve got an incredible line-up across two floors and a very special guest DJ appearance!!

Pure energy. Emotional tension. All together: energetic raw power and a clear mission: unity through sound, intensity over trends, and a party that sparks something bigger than yourself.

> Lilly Palmer
+ Egbert, Gregor Tresher, Joyhauser, Karotte, Marie Vaunt, Space 92 & very special guest !
ROOM 2: Blondex, Hani Dakin, José Bonetto, Klaudia Gawlas, Lestrange

- Start 17:00, make sure you are in BEFORE 19:00!
- Great selection of food available (vega & nonvega)
- Show your ticket at the entrance, put your screen brightness on 100%. Do not print tickets!
- Smoking outside only, no cigarettes available
- Protect your ears, wear earplugs
- We strongly discourage using your phone on the dancefloor. NO FLASH! And please only use your phone at the smoking area or outside the dancing area. Respect each other’s privacy and please: don’t kill the vibe with your phone.
- Entrance at Klönneplein 2, walk to the second entrance so don’t go the ‘we are lost’ entrance.
- We want everyone to feel safe and welcome at our events. Discrimination, violence or any form of bad behaviour will not be tolerated. If you experience or witness anything, please report it immediately to our security or venue bar staff.
- Make sure you get home safe and dance responsibly.
- In for an after? In the same building we welcome the famous fabric from London.. final tickets available
- Most of our ADE events will sell out soon or are already sold out. Meet us here: watt-events.nl

Presented by: Lilly Palmer & Spannung Records
Produced by: WATT Events
Powered by: Kontor, Armada, Goldroom
Date: October 24, 2025
Location: WestWeelde, Amsterdam",,,0,0,,{},,,,,,f,f,261
246,t,f,2025-11-03 14:24:55.513+00,2025-11-03 14:24:55.513+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,TOURS & SPECIAL FORMATS,,dcdc,,,0,0,,{},,,,,,f,f,262
247,t,f,2025-11-03 14:25:47.415+00,2025-11-03 14:25:47.415+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"The wait is over!
Q-Factory presents ADE Techno Night:
From Wednesday October 22nd to Sunday October 26th, the 30th edition of Amsterdam Dance Event (ADE) will take place. Especially for all techno lovers, Q-Factory presents ADE Techno Night on Thursday 23 October 2025.
Get ready for an evening full of steamy, exhilarating mixes of techno and beats until the early hours of the morning. With performances by Space 92, Joyhauser, Bermio, Luna Lucci & Ganbau.",,,0,0,,{},,,,,,f,f,263
248,t,f,2025-11-03 14:28:30.49+00,2025-11-03 14:28:30.49+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,FESTIVAL & OPEN-AIR,,"𝗕𝗥𝗨𝗡𝗖𝗛 𝗘𝗟𝗘𝗖𝗧𝗥𝗢𝗡𝗜𝗞 𝗠Á𝗟𝗔𝗚𝗔 𝗪𝗘𝗘𝗞𝗘𝗡𝗗𝗘𝗥
𝗙𝗿𝗼𝗺 𝟭𝟬 𝘁𝗼 𝟭𝟮 𝗢𝗰𝘁𝗼𝗯𝗲𝗿. 𝗔𝘂𝗱𝗶𝘁𝗼𝗿𝗶𝗼 𝗖𝗼𝗿𝘁𝗶𝗷𝗼 𝗱𝗲 𝗧𝗼𝗿𝗿𝗲𝘀.

Three days of outdoor electronic music and official afterparties in Paris15 to extend the celebration.

A new format that brings together big names from the international scene, showcases from leading collectives, and an experience that connects the energy of the festival with club culture throughout the weekend.

𝗙𝗿𝗶𝗱𝗮𝘆𝟭𝟬.𝟭𝟬 𝟴𝗽𝗺-𝟮𝗮𝗺
OPENING NIGHT
𝗦𝗮𝘁𝘂𝗿𝗱𝗮𝘆 𝟭𝟭.𝟭𝟬 𝟲𝗽𝗺-𝟮𝗮𝗺
𝗦𝘂𝗻𝗱𝗮𝘆 𝟭𝟮.𝟭𝟬 𝟲𝗽𝗺-𝟮𝗮𝗺

𝗢𝗙𝗙𝗜𝗖𝗜𝗔𝗟 𝗔𝗙𝗧𝗘𝗥𝗣𝗔𝗥𝗧𝗜𝗘𝗦 𝟭𝟬𝘁𝗵, 𝟭𝟭𝘁𝗵 𝗮𝗻𝗱 𝟭𝟮𝘁𝗵 𝗢𝗰𝘁𝗼𝗯𝗲𝗿 from 𝟭𝗮𝗺 to 𝟳𝗮𝗺 at 𝗣𝗮𝗿𝗶𝘀𝟭𝟱",,,0,0,,{},,,,,,f,f,264
269,t,f,2025-11-03 15:02:57.064+00,2025-11-03 15:02:57.064+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"Get ready for NSWT: No Sundays Without Techno!

August 10th – A night with powerhouse DJs Alex Sharp and Fabián Pereira!

- Alex Sharp: Known for electrifying beats and dynamic sets, Alex is ready to take you on a techno journey.

- Fabián Pereira: With global experience and founder of DROOP AGENCY BOOKING, Fabián will light up the dance floor.

Club John Doe, doors open at 23:00. Come experience the ultimate techno night and let the music take over.",,,0,0,,{},,,,,,f,f,285
249,t,f,2025-11-03 14:31:08.926+00,2025-11-03 14:31:08.926+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"SPACE 92“, the king of ”Peak-Time Techno"", who has been the best-selling techno artist on Beatport since 2020 and still reigns at the top of the ranking, is coming to Japan for the first time under his own name. He will be the first solo artist to visit Japan! GREG DOWNEY will make his first visit to Japan in two years as a special guest.
SPACE 92 is a popular techno DJ/producer from France, whose style is characterized by energetic, trancey, and driving beats fused with acid and 80s sci-fi nostalgia.
He has released numerous co-productions and remixes with artists such as Maddix, Hardwell, Popof, UMEK, and HI-LO, and has headlined at major festivals and clubs such as ULTRA, EDC, Tomorrowland, TECHMISSION, LUMINOSITY He has headlined at major festivals and clubs such as ULTRA, EDC, Tomorrowland, TECHMISSION and LUMINOSITY.
He has visited Japan as a B2B unit “Turbulences” with Popof for ULTRA JAPAN 2022 “RESISTANCE Tokyo”, but this is the first time he has visited Japan under his own name.

GREG DOWNEY, owner of the Skullduggery label and a member of VII, will appear as a special guest.
He has been playing at festivals such as ASOT, FSOE Thailand, and LUMINOSITY as well as clubs around the world this year and continues to captivate audiences with his dense yet vibrant music that fuses techno and tech-trance.
The Asian tour has taken them to Hong Kong, Taipei, Taichung, and Osaka, and this show will be the last stop on the tour.

The internationally acclaimed Japanese techno duo DRUNKEN KONG and RYOHEI will support this show. Both will perform at ULTRA JAPAN 2025. Experience their overwhelming sound and energetic performance at one of the biggest clubs in Japan, ZEROTOKYO!",,,0,0,,{},,,,,,f,f,265
250,t,f,2025-11-03 14:33:00.058+00,2025-11-03 14:33:00.058+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,FESTIVAL & OPEN-AIR,,"𝟮 𝗝𝗢𝗨𝗥𝗦 | 𝟰 𝗦𝗖𝗘̀𝗡𝗘𝗦 | 𝟱𝟬 𝗔𝗥𝗧𝗜𝗦𝗧𝗘𝗦

Toutes les tribus sont attendues les 13 & 14 septembre 2025 au Parc Urbain de Lomme
",,,0,0,,{},,,,,,f,f,266
251,t,f,2025-11-03 14:34:39.765+00,2025-11-03 14:34:39.765+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"Space 92 
MOGO",,,0,0,,{},,,,,,f,f,267
252,t,f,2025-11-03 14:39:51.394+00,2025-11-03 14:39:51.394+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"The season of sound is upon us. This November, kick off the month with an electrifying journey into the deepest corners of the underground. Forget the week ahead; this is where we reset. The bass is calling, and you must go. Tag your rave crew and secure your spot for the first Sunday session!

* November 2, 2025
* 11PM - 04AM
* Club John Doe, Amsterdam",,,0,0,,{},,,,,,f,f,268
253,t,f,2025-11-03 14:41:01.24+00,2025-11-03 14:41:01.24+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"UNDRGRND HALLOWEEN SPECIAL

Prepare for a night where the shadows dance and the bassline reigns supreme. Undrgrnd Amsterdam is taking over Club John Doe for a Halloween Special that will keep the spirits moving from dusk till dawn.

This Friday, step into the dark heart of Amsterdam's techno scene. We're bringing you a lineup of true underground masters: Alex Sharp, Vannood, Hinborq, and Aundreja.

Expect a journey through raw, hypnotic techno, hard-edged peaktime energy, and cosmic, deep-pulsing beats. This is more than a party; it's an eight-hour ritual of sound.

Don't miss the most anticipated Halloween event in the city. Secure your spot in the darkness.

- Club John Doe, Amsterdam
- Friday, 31.10 2025
- 11PM - 7AM",,,0,0,,{},,,,,,f,f,269
254,t,f,2025-11-03 14:42:27.986+00,2025-11-03 14:42:27.986+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"On October 26th, 2025, during the height of ADE in Amsterdam, Club John Doe will host an event destined to leave a lasting mark on the European techno scene. Endless, known for its immersive experiences and magnetic energy, joins forces with the sharp, visceral aesthetic of an artist who has transformed techno into a deeply personal language: Lino Fuso.

The night will unfold as a sonic journey that transcends the idea of a mere performance — a hypnotic progression through relentless rhythms, industrial soundscapes, and melodic tension, merging into a nocturnal ritual. No words can fully capture what will take place — only those present will truly understand.

In an atmosphere set to be both dense and intense, with strobe lights and evocative visuals, Club John Doe will become a place outside of time, where body and sound fuse into one.",,,0,0,,{},,,,,,f,f,270
255,t,f,2025-11-03 14:43:54.182+00,2025-11-03 14:43:54.182+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,SHOWCASE & INDUSTRY,,"ADE 2025 – Endless Records x EAT The Beat Melbourne x Undrgrnd : A Sonic Bridge Between Italy, Australia & The Netherlands

For the 2025 edition of the Amsterdam Dance Event, a groundbreaking international collaboration comes to life between Endless Records, the label founded by visionary Lino Fuso, Eat The Beat, one of the most vibrant forces in the Australian electronic music scene, and Undrgrnd Amsterdam, the innovative event collective founded by Alex Sharp.

This exclusive event is a meeting point of musical cultures, artistic visions, and continents, all united by a shared passion for cutting-edge electronic music.

What to Expect

A top-tier lineup featuring Italian, Australian, Dutch, and international artists
A showcase of the most forward-thinking sounds in techno, house, and minimal
Immersive light show & visuals, deep atmosphere, and an energy that embodies the true spirit of ADE

Club: Waterhouse Studios
Date: 25 October 2025

Join us as we write a new chapter in the global electronic scene — where rhythm knows no borders and music speaks a universal language.

Endless Records x Eat The Beat x UNDRGRND Amsterdam – ADE 2025
The collaboration you didn’t expect, but one you won’t forget.",,,0,0,,{},,,,,,f,f,271
256,t,f,2025-11-03 14:45:36.821+00,2025-11-03 14:45:36.821+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"
Beatfreak Showcase x Undrgrnd 2025 | Amsterdam Dance Event

We’re back in Amsterdam for one of the most anticipated nights of the year!

Join us on Friday, October 24th at the iconic John Doe club as Beatfreak Recordings teams up with Undrgrnd for a truly unforgettable ADE showcase.

Expect an electrifying night filled with cutting-edge sounds and unforgettable vibes, featuring a stellar lineup of Beatfreak artists from around the globe:


Lineup (A–Z):

Alex Medina, D-Formation. Grazze (YES TO ALL)
Alex Sharp
Andrew Sar
D-Formation
Darksidevinyl
Linda Lenor
Pacho & Pepo
Shazze
Stereo Underground
Tash

Get ready for a night of power grooves, melodic journeys, and signature Beatfreak energy.

- John Doe, Amsterdam
- Friday, October 24th
- Tickets available now on Resident Advisor",,,0,0,,{},,,,,,f,f,272
257,t,f,2025-11-03 14:46:57.918+00,2025-11-03 14:46:57.918+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"Feel the pulse.

This Sunday, No Sundays Without Techno keeps the rave alive with relentless beats and electrifying energy.

23:00 - 04:00, at John Doe Club. Don't stop the feeling!",,,0,0,,{},,,,,,f,f,273
258,t,f,2025-11-03 14:48:28.204+00,2025-11-03 14:48:28.204+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"Dive deep into the sound.

No Sundays Without Techno is your invitation to total immersion at UNDRGRND. Less words, more techno.

Experience the raw energy at John Doe Club, 23:00 - 04:00.",,,0,0,,{},,,,,,f,f,274
270,t,f,2025-11-03 15:04:18.241+00,2025-11-03 15:04:18.241+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"SUNDAYS JUST GOT BETTER

Forget Sundays’ stereotypes — we’re turning this one into a techno takeover. NSWT — No Sundays Without Techno. This Sunday, vibe hard, dance long.

Club John Doe, doors open at 23:00.",,,0,0,,{},,,,,,f,f,286
259,t,f,2025-11-03 14:49:52.02+00,2025-11-03 14:49:52.02+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"Last time, the dancefloor at Shut Up And Dance was a testament to pure immersion – a resounding success where every beat was felt and every moment lived. The energy was undeniable, the trance collective.

Now, UNDRGRND invites you to another unforgettable night as we continue to reclaim the true art of the rave! Leave your phones in your pockets, silence your chatter, and surrender to the sound. This isn't about capturing moments; it's about living them.

For this special edition, prepare for an extended journey with a 5-hour set by Alex Sharp, and other incredible local artists who embody the spirit of the underground.

Join us on the dancefloor and rediscover the true art of the rave!

Date: Fri, 10 Oct 2025
Time: 23:00 - 07:00
Venue: John Doe, Rembrandtplein 31, 1017 CT Amsterdam",,,0,0,,{},,,,,,f,f,275
260,t,f,2025-11-03 14:51:16.364+00,2025-11-03 14:51:16.364+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"Sundays are for techno.

Join UNDRGRND this Sunday for your weekly dose of unchained beats at John Doe Club!

Doors open 23:00, going strong until 04:00. Let the rhythm take over.",,,0,0,,{},,,,,,f,f,276
261,t,f,2025-11-03 14:52:16.208+00,2025-11-03 14:52:16.208+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"CODE 303 x UNDRGRND — Fourth Edition

After three unforgettable nights, CODE 303 x UNDRGRND returns for its fourth chapter. Each edition has taken the underground deeper — pushing boundaries, raising energy, and building a community that lives for raw, unfiltered techno. On Oct 3, we do it again.

This time, six artists take control of the floor:

- Alex Sharp
With deep basslines, smooth melodies, and a journey through genres, Alex Sharp delivers sets that are both soulful and floor-shaking — a true architect of the underground.

- Brizzia
Amsterdam’s Brizzia delivers raw, hypnotic techno colliding with deep melodic textures — high-energy sets built to move both body and mind.

- CØPTER
Utrecht’s CØPTER brings raw, driving beats and relentless hard techno energy — high-intensity power built for the underground floor.

- Gaya Carmeli
Amsterdam-based Gaya Carmeli is rising fast with raw, high-energy sets that fuse acid, peak-time, and hard techno into pure underground fire.

- Saskia Laval
Amsterdam’s Saskia Laval fuses her classical roots with fast, driving techno — delivering high-energy sets where raw power meets melodic connection on the floor.

- Semple
Dutch techno powerhouse SEMPLE delivers raw energy, deep basslines, and relentless rhythms — built to ignite the dancefloor from the very first beat.

This is more than a party — it’s the underground evolving, one night at a time. Join us for a night of connection, intensity, and pure CODE 303 energy.

Friday October 3, 2025 
Club John Doe, Amsterdam",,,0,0,,{},,,,,,f,f,277
262,t,f,2025-11-03 14:53:32.255+00,2025-11-03 14:53:32.255+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"RADIANT x UNDRGRND returns

Friday Sept 26 · Club John Doe

What began as a late-night experiment has grown into a monthly ritual — a space where UNDRGRND energy meets the radiant edge of cutting-edge techno. Each edition dives deeper, and this time we’ve curated four artists set to ignite the floor:

Alex Sharp — A master of hypnotic grooves and intricate sound design. Known for sets that blur the line between deep emotion and pure kinetic drive.

Main Identity — Melodic power and cinematic tension collide in this fast-rising name’s productions. Expect soaring synths over pounding rhythms built for big moments.

RTUR — Driving, dark, and relentless. RTUR brings a raw pulse straight from the underground, engineered to lock you into the rhythm.

Ola Roström — Swedish precision meets deep atmospheric techno. Ola crafts immersive journeys that pull you in from the first beat.

This is the next chapter of RADIANT. Come lose yourself in the sound.
",,,0,0,,{},,,,,,f,f,278
263,t,f,2025-11-03 14:55:06.249+00,2025-11-03 14:55:06.249+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"
Sundays Are For Techno

No excuses. No exceptions. This Sunday, it's all about the pulsating energy at UNDRGRND's No Sundays Without Techno. Club John Doe, 11PM-4AM. Are you ready to go all night?",,,0,0,,{},,,,,,f,f,279
264,t,f,2025-11-03 14:56:22.062+00,2025-11-03 14:56:22.062+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"INSLAG once again takes over Club John Doe for a night dedicated to hard groove and techno. Together with UNDRGRND Amsterdam, Mad Music Hub fuels the city’s underground with raw, high-intensity sounds and an atmosphere that pulls you deeper into the night.

For this edition we proudly welcome Lokane the London-born innovator who’s been pushing boundaries since his early days on Nervous Horizon. From London’s underground to Amsterdam’s floors, his sound injects fresh energy into the scene.

He’s joined by Alex Sharp, Entyrutz, YU4X and JO-EL. The driving forces behind INSLAG, each bringing their own vision of hard groove and techno to the floor.

Curated with precision, expect darker atmospheres and hypnotic rhythms that carries you to the early hours.

⸻

Club John Doe, Amsterdam
Friday 20 September
23:00 – 07:00",,,0,0,,{},,,,,,f,f,280
265,t,f,2025-11-03 14:57:47.454+00,2025-11-03 14:57:47.454+00,,0001-01-01 00:00:00+00,0001-01-01 00:00:00+00,CLUB & NIGHTLIFE,,"This Sunday, UNDRGRND invites international heros to NSWT, curating a night of pure energy and mesmerising rhythm.

Lineup:

- AiMii
- YOSHI KANOU
- Alex Sharp
- LEOS

Club John Doe. Doors open 23:00. Don't miss it.",,,0,0,,{},,,,,,f,f,281
